company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Bounteous Inc.,co_b8df7bf20faa,First Lien,,10.2%,,SOFR,5.25%,,,1888,1815,1529,0.1%,1815,,,,BBDC,2023-05-04
BPG Holdings IV Corp.,co_bca2c4f52e0e,First Lien,,10.9%,,SOFR,6%,,,14400,13538,13536,1.1%,13538,,,,BBDC,2023-05-04
Bridger Aerospace Group Holdings LLC,co_3878b274360c,First Lien,Aerospace & Defense,11.5%,,,,,,27200,27200,28525,2.4%,27200,,,,BBDC,2023-05-04
Bridger Aerospace Group Holdings LLC,co_3878b274360c,Preferred Equity,Aerospace & Defense,,7%,,,,,,14460,14854,1.2%,14460,,,,BBDC,2023-05-04
Brightline Trains Florida LLC,co_b9fe01806e5e,First Lien,,8%,,,,,,5000,5000,4400,0.4%,5000,,,,BBDC,2023-05-04
Brightpay Limited Technology,co_292170ca339d,First Lien,Software & Technology,7.3%,,SOFR,5.25%,,,2245,2298,2157,0.2%,2298,,,,BBDC,2023-05-04
BrightSign LLC,co_d02725117615,First Lien,,10.9%,,SOFR,5.75%,,,4741,4703,4701,0.4%,4703,,,,BBDC,2023-05-04
BrightSign LLC,co_d02725117615,Revolver,,10.7%,,SOFR,5.75%,,,1329,1319,1318,0.1%,1319,,,,BBDC,2023-05-04
BrightSign LLC,co_d02725117615,Other Equity,,,,,,,,,1107,1517,0.1%,1107,,,,BBDC,2023-05-04
British Airways 2020-1 Class B Pass Through Trust Airlines,co_9c0e9f417676,Other Equity,Transportation & Logistics,8.4%,,,,,,676,676,691,0.1%,676,,,,BBDC,2023-05-04
British Engineering Services Holdco Limited Commercial Services & Supplies,co_d46d6ffb52b7,First Lien,Industrials,10.7%,,SOFR,7%,,,14177,15146,13864,1.2%,15146,,,,BBDC,2023-05-04
Brook & Whittle Holding Corp.,co_43a8ec9f250b,First Lien,,9%,,SOFR,4%,,,2820,2800,2568,0.2%,2800,,,,BBDC,2023-05-04
Brown Machine Group Holdings LLC,co_28aeb2935b81,First Lien,,10.4%,,SOFR,5.25%,,,6281,6256,6281,0.5%,6256,,,,BBDC,2023-05-04
Burgess Point Purchaser Corp.,co_4efff09567e0,Second Lien,,13.9%,,SOFR,9%,,,4545,4374,4405,0.4%,4374,,,,BBDC,2023-05-04
Burgess Point Purchaser Corp.,co_4efff09567e0,Other Equity,,,,,,,,,455,478,0%,455,,,,BBDC,2023-05-04
BVI Medical Inc.,co_969fda17c6cc,Second Lien,Healthcare,12.5%,,SOFR,9.5%,,,10079,9425,9778,0.8%,9425,,,,BBDC,2023-05-04
Cadent LLC,co_e7f6eaf0136f,First Lien,,11.4%,,SOFR,6.25%,,,6751,6744,6677,0.6%,6744,,,,BBDC,2023-05-04
