company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Neuintel LLC,First Lien,Consumer & Retail,12.7%,,LIBOR,6.25%,,2021-12-20,,,56817,57846,4%,56817,,,,,,TSLX,2023-08-03
Project P Intermediate 2 LLC,First Lien,Consumer & Retail,13.2%,,SOFR,6.40%,,,,,71195,73270,5%,71195,,,,,,TSLX,2023-08-03
Tango Management Consulting LLC,First Lien,Consumer & Retail,12.02%,,SOFR,6.85%,,2021-12-01,,,50464,,3.4%,50464,,,,,,TSLX,2023-08-03
Tango Management Consulting LLC,First Lien,Consumer & Retail,15%,,Prime,6.75%,,2021-12-01,,,-57,-53,0%,-57,,,,,,TSLX,2023-08-03
Consumer Products,First Lien,Consumer & Retail,,,,,,,,,332105,326528,22.3%,332105,,,,,,TSLX,2023-08-03
Project44 Inc.,First Lien,Transportation & Logistics,11.49%,,SOFR,6.40%,,2021-11-12,,,34153,34726,2.4%,34153,,,,,,TSLX,2023-08-03
Debt Investments,Other,Financial Services,,,,,,,,,2868758,2880097,1.97%,2868758,,,,,,TSLX,2023-08-03
Dye & Durham,Other Equity,Business Services,,,,,,,,,3909,2299,0.1%,3909,,,,126968,,TSLX,2023-08-03
Mitnick TA Aggregator,Other Equity,Business Services,,,,,,,,,5243,5243,0.4%,5243,,,,,,TSLX,2023-08-03
ReliaQuest LLC,Other Equity,Business Services,,,,,,2021-11-23,,,1120,1512,0.1%,1120,,,,567683,,TSLX,2023-08-03
ReliaQuest LLC,Other Equity,Business Services,,,,,,2022-06-21,,,6,9,0%,6,,,,2580,,TSLX,2023-08-03
Sprinklr,Other Equity,Business Services,,,,,,,,,2961,4749,0.3%,2961,,,,343382,,TSLX,2023-08-03
Celtra Technologies Inc.,Other Equity,Telecommunications,,,,,,2021-11-19,,,1250,1250,0.1%,1250,,,,1250000,,TSLX,2023-08-03
IntelePeer Holdings Inc.,Other Equity,Telecommunications,,,,,,2021-04-08,,,1816,2021,0.1%,1816,,,,1816295,,TSLX,2023-08-03
IntelePeer Holdings Inc.,Other Equity,Telecommunications,,,,,,2021-04-08,,,2925,2165,0.1%,2925,,,,1598874,,TSLX,2023-08-03
Communications IntelePeer Holdings Inc.,Warrants,,,,,,,,,,183,,0%,183,,,,280000,,TSLX,2023-08-03
Astra 2L Holdings II LLC,Other,Education,,,,,,,,,3255,610,0%,3255,,,,,,TSLX,2023-08-03
EMS Linq Inc.,Other Equity,Education,,,,,,2021-12-22,,,5523,4763,0.3%,5523,,,,5522526,,TSLX,2023-08-03
RMCF IV CIV XXXV LP.,Other Equity,Education,,,,,,2021-06-08,,,1000,1330,0.1%,1000,,,,,,TSLX,2023-08-03
AvidXchange,Other Equity,Financial Services,,,,,,,,,767,1563,0.1%,767,,,,150541,,TSLX,2023-08-03
Newport Parent Holdings LP,Other Equity,Financial Services,,,,,,2020-12-10,,,4177,6600,0.4%,4177,,,,131569,,TSLX,2023-08-03
Oxford Square Capital Corp.,Other Equity,Financial Services,,,,,,,,,6,4,0%,6,,,,1620,,TSLX,2023-08-03
Passport Labs Inc.,Warrants,Financial Services,,,,,,,,,192,8,0%,192,,,,17534,,TSLX,2023-08-03
TradingScreen Inc.,Other Equity,Financial Services,,,,,,2021-05-14,,,600,600,0%,600,,,,600000,,TSLX,2023-08-03
Caris Life Sciences Inc.,Other Equity,Healthcare,,,,,,2020-10-13,,,1000,1242,0.1%,1000,,,,362319,,TSLX,2023-08-03
Caris Life Sciences Inc.,Other Equity,Healthcare,,,,,,2021-05-11,,,10050,9221,0.6%,10050,,,,1240740,,TSLX,2023-08-03
Caris Life Sciences Inc.,Warrants,Healthcare,,,,,,,,,192,1150,0.1%,192,,,,633376,,TSLX,2023-08-03
Caris Life Sciences Inc.,Warrants,Healthcare,,,,,,,,,250,852,0.1%,250,,,,569991,,TSLX,2023-08-03
Merative LP,Other Equity,Healthcare,,,,,,2022-06-30,,,9897,9897,0.7%,9897,,,,989691,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Ordinary Shares,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class A,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class B,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class C,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class D,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class E,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class F,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class G,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class H,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Raptor US Buyer II Corp.1364 Class I,Other Equity,Healthcare,,,,,,,,,203,203,0%,203,,,,2027,,TSLX,2023-08-03
Hotel Gaming and Leisure IRGSE Holding Corp.,Other Equity,Healthcare,,,,,,2018-12-21,,,21842,15121,1%,21842,,,,33790171,,TSLX,2023-08-03
Hotel Gaming and Leisure IRGSE Holding Corp.,Other Equity,Healthcare,,,,,,,,,100,43,0%,100,,,,8800000,,TSLX,2023-08-03
Hotel Gaming and Leisure,Other,Healthcare,,,,,,,,,21942,15164,1%,21942,,,,,,TSLX,2023-08-03
