company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Anthem Sports & Entertainment Inc.,Unfunded Commitment,Media & Entertainment,,,,,,,,,,,,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,First Lien,Media & Entertainment,9.50%,,LIBOR,950,2024-09-09,,833,833,,,,,,CION,2020-11-16
APC Intermediate Holdings Inc.,First Lien,Automotive,11.00%,,LIBOR,1000,2025-07-24,,2658,2535,,,,,,CION,2020-11-16
APCO Holdings LLC,First Lien,Financial Services,5.50%,,LIBOR,550,2025-06-09,,10527,10448,,,,,,CION,2020-11-16
Appalachian Resource Company LLC,First Lien,Metals & Mining,12.00%,,LIBOR,1000,2023-09-10,,12887,11166,,,,,,CION,2020-11-16
Associated Asphalt Partners LLC,First Lien,Construction & Engineering,6.25%,,LIBOR,525,2024-04-05,,14565,14122,,,,,,CION,2020-11-16
Avison Young (USA) Inc.,First Lien,Financial Services,5.00%,,LIBOR,500,2026-01-31,,9825,9666,,,,,,CION,2020-11-16
Bi-Lo LLC,First Lien,Retail,9.00%,,LIBOR,800,2024-05-31,,18721,18076,,,,,,CION,2020-11-16
Hyperion Materials & Technologies Inc.,First Lien,Chemicals,5.50%,,LIBOR,550,2026-08-28,,9801,10000,,,,,,CION,2020-11-16
Independent Pet Partners Intermediate Holdings LLC,First Lien,Retail,9.00%,,LIBOR,900,2023-11-19,,12020,12094,,,,,,CION,2020-11-16
Independent Pet Partners Intermediate Holdings LLC,Unfunded Commitment,Retail,,,N/A,,,2023-11-19,7852,,,,,,,CION,2020-11-16
Infinity Sales Group LLC,First Lien,Business Services,10.50%,,LIBOR,1050,2020-11-23,,7117,7330,,,,,,CION,2020-11-16
InfoGroup Inc.,First Lien,Media & Entertainment,5.00%,,LIBOR,500,2023-04-03,,15783,15797,,,,,,CION,2020-11-16
Instant Web LLC,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2022-12-15,,37753,37835,,,,,,CION,2020-11-16
Instant Web LLC,First Lien,Media & Entertainment,6.50%,,LIBOR,650,2022-12-15,,433,433,,,,,,CION,2020-11-16
Instant Web LLC,Unfunded Commitment,Media & Entertainment,0.50%,,N/A,,,2022-12-15,2271,,,,,,,CION,2020-11-16
International Seaways Inc.,First Lien,Transportation & Logistics,6.00%,,LIBOR,600,2022-06-22,,8812,8922,,,,,,CION,2020-11-16
Isagenix International LLC,First Lien,Food & Beverage,5.75%,,LIBOR,575,2025-06-14,,13938,14058,,,,,,CION,2020-11-16
Island Medical Management Holdings LLC,First Lien,Pharmaceuticals & Biotechnology,6.50%,,LIBOR,650,2022-09-01,,11750,11849,,,,,,CION,2020-11-16
