company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Masergy Holdings Inc.,Second Lien,Telecommunications,9.83%,,N/A,7.50%,,2024-12-16,857,863,844,2.1,,,,BCSF,2019-08-07
Masergy Holdings Inc.,First Lien,Telecommunications,5.58%,,N/A,3.25%,,2023-12-15,683,680,673,2.1,,,,BCSF,2019-08-07
A&R Logistics Inc.,Revolver,Transportation & Logistics,8.27%,,N/A,5.75%,,2025-05-05,687,563,550,10.8,,,,BCSF,2019-08-07
A&R Logistics Inc.,First Lien,Transportation & Logistics,8.27%,,N/A,5.75%,,2025-05-05,44197,43294,43202,10.8,,,,BCSF,2019-08-07
A&R Logistics Inc.,First Lien,Transportation & Logistics,8.08%,,N/A,5.75%,,2025-05-05,2479,2427,2423,10.8,,,,BCSF,2019-08-07
ARL Holdings LLC,Partnership Interest,Transportation & Logistics,,,,,,,8,8,397,10.8,,,,BCSF,2019-08-07
ENC Holding Corp.,First Lien,Transportation & Logistics,6.33%,,N/A,4.00%,,2025-05-30,10321,10307,10218,10.8,,,,BCSF,2019-08-07
Grammer Investment Holdings LLC,Partnership Interest,Transportation & Logistics,,,,,,,1011,1011,1122,10.8,,,,BCSF,2019-08-07
Grammer Investment Holdings LLC,Preferred Equity,Transportation & Logistics,,10.00%,,10.00%,,2026-01-01,6,615,646,10.8,,,,BCSF,2019-08-07
Grammer Investment Holdings LLC,Warrants,Transportation & Logistics,,,,,,,122,,134,10.8,,,,BCSF,2019-08-07
Grammer Purchaser Inc.,Revolver,Transportation & Logistics,,,,,,,,,,,,,,BCSF,2019-08-07
Grammer Purchaser Inc.,Revolver,Transportation & Logistics,6.95%,,N/A,4.75%,,2024-09-30,10258,10093,10258,10.8,,,,BCSF,2019-08-07
Omni Logistics LLC,Subordinated Debt,Transportation & Logistics,13.90%,,N/A,11.50%,,2024-01-19,15000,14737,14775,10.8,,,,BCSF,2019-08-07
PS HoldCo LLC,First Lien,Transportation & Logistics,7.15%,,N/A,4.75%,,2025-03-13,23395,23385,23205,10.8,,,,BCSF,2019-08-07
Toro Private Investments II LP,Partnership Interest,Transportation & Logistics,,,,,,,3090,3090,3090,10.8,,,,BCSF,2019-08-07
PRCC Holdings Inc.,Delayed Draw,Chemicals,9.02%,,N/A,6.50%,,2021-02-01,11878,11878,11878,,,,,BCSF,2019-08-07
Solaray LLC,Delayed Draw,Consumer Products,8.49%,,N/A,5.75%,,2023-09-09,26680,26389,26547,,,,,BCSF,2019-08-07
Margaux Acquisition Inc.,Delayed Draw,Insurance,,,,,2024-12-19,,,,,,,,,BCSF,2019-08-07
Element Buyer Inc.,Delayed Draw,Software,7.76%,,N/A,5.25%,,2025-07-19,7600,7473,7543,,,,,BCSF,2019-08-07
Ansira Holdings Inc.,Delayed Draw,Media & Entertainment,8.27%,,N/A,5.75%,,2022-12-20,2478,2472,2459,,,,,BCSF,2019-08-07
McKissock LLC,Delayed Draw,Business Services,8.55%,,N/A,5.75%,,2021-08-05,2605,2583,2605,,,,,BCSF,2019-08-07
Direct Travel Inc.,Delayed Draw,Transportation & Logistics,9.12%,,N/A,6.50%,,2021-12-01,1672,1669,1672,,,,,BCSF,2019-08-07
A-L Parent LLC,Second Lien,Media & Entertainment,8.5%,,N/A,7.25%,,2024-12-02,4050,4018,4025,,,,,BCSF,2019-08-07
Ansira Holdings Inc.,Delayed Draw,Media & Entertainment,8.16%,,N/A,5.75%,,2022-12-20,2951,2940,2929,,,,,BCSF,2019-08-07
Ansira Holdings Inc.,First Lien,Media & Entertainment,8.15%,,N/A,5.75%,,2022-12-20,36059,35969,35879,,,,,BCSF,2019-08-07
Cambium Learning Group Inc.,First Lien,Media & Entertainment,7.08%,,N/A,4.50%,,2025-12-18,12264,11685,12156,,,,,BCSF,2019-08-07
Cruz Bay Publishing Inc.,Delayed Draw,Media & Entertainment,10.50%,,N/A,5.00%,,2020-02-28,397,352,397,,,,,BCSF,2019-08-07
Cruz Bay Publishing,Revolver,Media & Entertainment,8.50%,,N/A,3.00%,,2020-02-28,2267,2267,2267,,,,,BCSF,2019-08-07
Cruz Bay Publishing Inc.,First Lien,Media & Entertainment,8.36%,,N/A,5.75%,,2020-02-28,4954,4954,4954,,,,,BCSF,2019-08-07
Cruz Bay Publishing Inc.,First Lien,Media & Entertainment,9.25%,,N/A,6.75%,,2020-02-28,1654,1654,1654,,,,,BCSF,2019-08-07
Micro Holding Corp.,First Lien,Media & Entertainment,6.15%,,N/A,3.75%,,2024-09-13,8938,8905,8796,,,,,BCSF,2019-08-07
Vital Holdco Ltd.,First Lien,Media & Entertainment,7.80%,,N/A,5.25%,,2026-05-02,35357,34485,34473,,,,,BCSF,2019-08-07
Vital Holdco Ltd.,First Lien,Media & Entertainment,5.25%,,Euribor,5.25%,,2026-05-02,7917,8599,8779,,,,,BCSF,2019-08-07
Efficient Collaborative Retail Marketing Company LLC,Revolver,Marketing & Advertising,,,,,,2022-06-15,,,,,,,3542,BCSF,2019-08-07
Efficient Collaborative Retail Marketing Company LLC,First Lien,Media & Entertainment,9.08%,,N/A,6.75%,,2022-06-15,15095,15203,15095,,,,,BCSF,2019-08-07
Efficient Collaborative Retail Marketing Company LLC,First Lien,Media & Entertainment,9.08%,,N/A,6.75%,,2022-06-15,9994,10066,9994,,,,,BCSF,2019-08-07
Getty Images Inc.,First Lien,Media & Entertainment,6.94%,,N/A,4.50%,,2026-02-19,22012,21811,21939,,,,,BCSF,2019-08-07
International Entertainment Investments Ltd.,First Lien,Media & Entertainment,5.66%,,LIBOR,4.75%,,2023-05-31,8685,10627,11027,,,,,BCSF,2019-08-07
Batteries Plus Holding Corp.,Revolver,Retail,,,,,,2022-07-06,,,,,,,4250,BCSF,2019-08-07
Batteries Plus Holding Corp.,First Lien,Retail,9.15%,,N/A,6.75%,,2022-07-06,30258,30258,30258,,,,,BCSF,2019-08-07
Calceus Acquisition Inc.,First Lien,Retail,7.94%,,N/A,5.50%,,2025-02-12,9112,9041,9069,,,,,BCSF,2019-08-07
Advantage Sales & Marketing Inc.,First Lien,Business Services,5.58%,,N/A,3.25%,,2021-07-23,11671,11492,10711,,,,,BCSF,2019-08-07
AMCP Clean Acquisition Company LLC,Delayed Draw,Business Services,6.58%,,N/A,4.25%,,2025-06-16,3914,3901,3882,,,,,BCSF,2019-08-07
AMCP Clean Acquisition Company LLC,First Lien,Business Services,6.58%,,N/A,4.25%,,2025-06-16,16175,16130,16044,,,,,BCSF,2019-08-07
Hightower Holding LLC,Delayed Draw,Business Services,,,,,,2025-01-31,,,,,,,,BCSF,2019-08-07
Hightower Holding LLC,First Lien,Business Services,7.44%,,N/A,5.00%,,2025-01-31,25600,25478,25536,,,,,BCSF,2019-08-07
ASP Chromaflo Intermediate Holdings Inc.,First Lien,Chemicals,6.02%,,N/A,3.50%,,2023-11-20,656,654,642,,,,,BCSF,2019-08-07
Niacet b.v.,First Lien,Chemicals,5.50%,,Euribor,4.50%,,2024-02-01,3777,4044,4304,,,,,BCSF,2019-08-07
Niacet Corp.,First Lien,Chemicals,7.02%,,N/A,4.50%,,2024-02-01,2173,2156,2162,,,,,BCSF,2019-08-07
Plaskolite Inc.,First Lien,Chemicals,6.69%,,N/A,4.25%,,2025-12-15,12030,11790,11910,,,,,BCSF,2019-08-07
PRCC Holdings Inc.,Revolver,Other,,,,,2021-02-01,,,,,,,,,BCSF,2019-08-07
Bolt Infrastructure Merger Sub Inc.,First Lien,Construction & Engineering,6.02%,,N/A,3.50%,,2024-06-21,2670,2662,2617,,,,,BCSF,2019-08-07
