company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
WHCG Purchaser III Inc.,co_e6e79890b8a2,First Lien,,10.77%,,SOFR,5.75%,,,,6682,6595,4950,0.12%,6595,,,,,,BXSL,2023-05-10
WHCG Purchaser III Inc.,co_e6e79890b8a2,First Lien,,10.91%,,SOFR,5.75%,,,,42326,41600,28726,0.69%,41600,,,,,,BXSL,2023-05-10
Caerus US 1 Inc.,co_a348a4088000,First Lien,,10.08%,,SOFR,5.5%,,,,9962,9774,9748,0.23%,9774,,,,,,BXSL,2023-05-10
Caerus US 1 Inc.,co_a348a4088000,First Lien,,10.54%,,SOFR,5.56%,,,,635,612,622,0.01%,612,,,,,,BXSL,2023-05-10
Caerus US 1 Inc.,co_a348a4088000,First Lien,,10.65%,,SOFR,5.75%,,,,2215,2170,2189,0.05%,2170,,,,,,BXSL,2023-05-10
Color Intermediate LLC,co_0ce623601f98,First Lien,Media & Entertainment,10.5%,,SOFR,5.5%,,,,20313,19836,20109,0.48%,19836,,,,,,BXSL,2023-05-10
Edifecs Inc.,co_350d414bb4a8,First Lien,,12.35%,,SOFR,7.5%,,,,218601,215436,220787,5.27%,215436,,,,,,BXSL,2023-05-10
Edifecs Inc.,co_350d414bb4a8,First Lien,,10.35%,,SOFR,5.5%,,,,5749,5669,5749,0.14%,5669,,,,,,BXSL,2023-05-10
Edifecs Inc.,co_350d414bb4a8,First Lien,,10.34%,,SOFR,5.5%,,,,7802,7688,7802,0.19%,7688,,,,,,BXSL,2023-05-10
GI Ranger Intermediate LLC,co_44101e0da5fc,First Lien,Media & Entertainment,11.05%,,SOFR,6%,,,,12917,12711,12723,0.3%,12711,,,,,,BXSL,2023-05-10
GI Ranger Intermediate LLC,co_44101e0da5fc,First Lien,Media & Entertainment,11.05%,,SOFR,6%,,,,2930,2890,2841,0.07%,2890,,,,,,BXSL,2023-05-10
GI Ranger Intermediate LLC,co_44101e0da5fc,First Lien,Media & Entertainment,11.05%,,SOFR,6%,,,,120,102,102,0%,102,,,,,,BXSL,2023-05-10
NMC Crimson Holdings Inc.,co_5a70d9fd5670,First Lien,,9.74%,,SOFR,6%,,,,71173,69674,70462,1.68%,69674,,,,,,BXSL,2023-05-10
NMC Crimson Holdings Inc.,co_5a70d9fd5670,First Lien,,10.95%,,SOFR,6%,,,,4815,4604,4578,0.11%,4604,,,,,,BXSL,2023-05-10
Project Ruby Ultimate Parent Corp.,co_53120a491cb5,First Lien,,8.09%,,SOFR,3.25%,,,,8439,8409,8143,0.19%,8409,,,,,,BXSL,2023-05-10
RPBLS Midco LLC,co_9fe55e49b84a,First Lien,,10.34%,,SOFR,5.75%,,,,9419,9279,9419,0.22%,9279,,,,,,BXSL,2023-05-10
Alera Group Inc.,co_d6fed5973af6,First Lien,,10.91%,,SOFR,6%,,,,3694,3665,3602,0.09%,3665,,,,,,BXSL,2023-05-10
Amerilife Holdings LLC,co_79b70b5ba514,First Lien,,10.88%,,SOFR,5.75%,,,,1796,1759,1776,0.04%,1759,,,,,,BXSL,2023-05-10
Amerilife Holdings LLC,co_79b70b5ba514,First Lien,,10.15%,,SOFR,5.75%,,,,299,293,295,0.01%,293,,,,,,BXSL,2023-05-10
Benefytt Technologies Inc.,co_8bc374bce7b9,First Lien,,13.44%,,SOFR,7.75%,,,,10854,10702,5155,0.12%,10702,,,,,,BXSL,2023-05-10
Benefytt Technologies Inc.,co_8bc374bce7b9,First Lien,,13.74%,,SOFR,8.75%,,,,2661,2621,1260,0.03%,2621,,,,,,BXSL,2023-05-10
Foundation Risk Partners Corp.,co_2669dbde7061,First Lien,,11%,,SOFR,6%,,,,26132,25792,25051,0.6%,25792,,,,,,BXSL,2023-05-10
Galway Borrower LLC,co_7b729e02e51d,First Lien,,10.41%,,SOFR,5.25%,,,,19945,19707,19543,0.47%,19707,,,,,,BXSL,2023-05-10
Galway Borrower LLC,co_7b729e02e51d,First Lien,,10.41%,,SOFR,5.25%,,,,454,423,412,0.01%,423,,,,,,BXSL,2023-05-10
High Street Buyer Inc.,co_09cbb0aa41aa,First Lien,,11.05%,,SOFR,6%,,,,52824,52017,52383,1.25%,52017,,,,,,BXSL,2023-05-10
High Street Buyer Inc.,co_09cbb0aa41aa,First Lien,,10.8%,,SOFR,5.75%,,,,8929,8681,8633,0.21%,8681,,,,,,BXSL,2023-05-10
Integrity Marketing Acquisition LLC,co_cb724891ebc0,First Lien,Business Services,11%,,SOFR,6.05%,,,,19629,19475,18991,0.45%,19475,,,,,,BXSL,2023-05-10
Integrity Marketing Acquisition LLC,co_cb724891ebc0,First Lien,Business Services,10.91%,,SOFR,6.02%,,,,1545,1519,1484,0.04%,1519,,,,,,BXSL,2023-05-10
Integrity Marketing Acquisition LLC,co_cb724891ebc0,First Lien,Business Services,10.79%,,SOFR,6.03%,,,,4069,4029,3917,0.09%,4029,,,,,,BXSL,2023-05-10
Integrity Marketing Acquisition LLC,co_cb724891ebc0,First Lien,Business Services,11%,,SOFR,6.05%,,,,120677,119646,116152,2.77%,119646,,,,,,BXSL,2023-05-10
