company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Xcentric Mold and Engineering Acquisition Company LLC,First Lien,Other,,,,,,,,,5012125,4929254,,,,CCAP,2018-05-11
C.F. Stinson LLC,First Lien,Other,,,,,,,,,3000000,2956173,,,,CCAP,2018-05-11
Catapult Learning LLC,First Lien,Other,,,,,,,,,4934211,4906471,,,,CCAP,2018-05-11
Counsel On Call LLC,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
Counsel On Call LLC,First Lien,Other,,,,,,,,,1197000,1185060,,,,CCAP,2018-05-11
NS Intermediate Holdings LLC,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
NS Intermediate Holdings LLC,First Lien,Other,,,,,,,,,2532110,2497657,,,,CCAP,2018-05-11
Oncourse Learning Corp.,First Lien,Other,,,,,,,,,13190175,13033704,,,,CCAP,2018-05-11
SkillSoft Corp.,First Lien,Other,,,,,,,,,969713,957665,,,,CCAP,2018-05-11
Teaching Company LLC,First Lien,Other,,,,,,,,,4962500,4918925,,,,CCAP,2018-05-11
Wrench Group LLC,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
Wrench Group LLC,First Lien,Other,,,,,,,,,3772222,3730704,,,,CCAP,2018-05-11
Wrench Group LLC,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
Kenan Advantage Group Inc.,First Lien,Transportation & Logistics,,,,,,2022-07-01,,,776460,778044,,,,CCAP,2018-05-11
Pilot Air Freight LLC,First Lien,Transportation & Logistics,,,,,,2022-10-01,,,3316500,3288946,,,,CCAP,2018-05-11
Alion Science and Technology Corp.,Common Equity,Other,,,,,,,535714,535714,,,,,,CCAP,2018-05-11
MHS Acquisition Holdings LLC,Common Equity,Industrial Services,,,,,,,891,890485,,,,,,CCAP,2018-05-11
TecoStar Holdings Inc.,Common Equity,Industrial Services,,,,,,,500000,500000,,,,,,CCAP,2018-05-11
USAGM HoldCo LLC,Common Equity,Industrial Services,,,,,,,238095,238095,,,,,,CCAP,2018-05-11
ExamWorks Group Inc.,Common Equity,Medical Devices & Equipment,,,,,,,7500,750000,,,,,,CCAP,2018-05-11
MDVIP Inc.,Common Equity,Medical Devices & Equipment,,,,,,,46807,666667,,,,,,CCAP,2018-05-11
Integro Equity,Common Equity,Insurance,,,,,,,4225,422535,,,,,,CCAP,2018-05-11
