company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2022-09-27,2026-05-29,1364,1364,1364,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2019-02-28,2026-05-29,65,65,65,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2022-09-27,2026-05-29,3611,3611,3611,,,,
Crownpeak Technology Inc (Revolver),First Lien Senior Secured,Media: Diversified & Production,,11.05%,SF,6.75,2019-02-28,2026-05-29,500,500,500,,,,
Sports Operating Holdings II LLC,First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,2910,2875,2875,,,,
Sports Operating Holdings II LLC,First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,2373,2373,2373,,,,
Sports Operating Holdings II LLC (Revolver),First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,1038,208,208,,,,
V10 Entertainment Inc,First Lien Senior Secured,Media: Diversified & Production,,11.39%,SF,7.10,2023-01-12,2028-01-12,3219,3168,3168,,,,
V10 Entertainment Inc (Revolver),First Lien Senior Secured,Media: Diversified & Production,,11.38%,SF,7.10,2023-01-12,2028-01-12,458,73,73,,,,
BLST Operating Company LLC,First Lien Senior Secured,Retail,1.00%,10.89%,SF,7.50,2020-08-28,2026-01-31,798,570,570,,230,,
Aras Corporation,First Lien Senior Secured,Services: Business,,9.00%,SF,5.00,2021-04-13,2029-04-13,2427,2431,2431,,,,
Burroughs Inc,First Lien Senior Secured,Services: Business,8.88%,1.00%,SF,8.60,2017-12-22,2029-12-22,303,303,303,,,,
Arcserve Cayman GP LLC (fka Arcstor Midco LLC) (59211 Class A common units),Common Equity,High Tech Industries,,,,,,2024-01-02,,,,,,,
Arcserve Cayman Opco LP (fka Arcstor Midco LLC) (59211 Class A common units),Common Equity,High Tech Industries,,,,,,2021-03-16,,,,4119,4119,,
Arcserve Cayman Opco LP (fka Arcstor Midco LLC) (110294 Class B common units),Common Equity,High Tech Industries,,,,,,2024-01-02,,,,,,,
Douglas Holdings Inc (57588 Class A common units),Common Equity,High Tech Industries,,,,,,2024-08-27,,,,58,58,,
Drawbridge Partners LLC (130433 Class A-1 units),Common Equity,High Tech Industries,,,,,,2022-09-01,,,,130,130,,
Planful Inc (473082 Class A units),Preferred Equity,High Tech Industries,,8.00%,,n/a,2018-12-28,,,473,473,,,,
Planful Inc (35791 Class B units),Common Equity,High Tech Industries,,,,,,2023-05-03,,,,,,,
Recorded Future Inc (80486 Class A units),Common Equity,High Tech Industries,,,,,,2019-07-03,,,,49,49,,
Sparq Holdings Inc (300000 common units),Common Equity,High Tech Industries,,,,,,2023-06-15,,,,300,300,,
Equine Network LLC (108 Class A units),Common Equity,Hotels Gaming & Leisure,,,,,,2020-12-31,,,,111,111,,
InMobi Pte Ltd (warrant to purchase up to 2.8% of the equity),Warrant,Media Advertising Printing & Publishing,,,,,,2015-09-18,2025-09-18,,,,,,
Relevate Health Group LLC (40 preferred units),Preferred Equity,Media Advertising Printing & Publishing,,12.00%,,n/a,2020-11-20,,,,40,40,,,
Relevate Health Group LLC (6 Class X preferred units),Preferred Equity,Media Advertising Printing & Publishing,,12.00%,,n/a,2024-11-14,,,,6,6,,,
Relevate Health Group LLC (40 Class B common units),Common Equity,Media Advertising Printing & Publishing,,,,,,2020-11-20,,,,,,,
Relevate Health Group LLC (6 Class X common units),Common Equity,Media Advertising Printing & Publishing,,,,,,2024-11-14,,,,,,,
Spherix Global Inc (13 Class A-2 units),Common Equity,Media Advertising Printing & Publishing,,,,,,2024-06-10,,,,13,13,,
Spherix Global Inc (81 Class A units),Common Equity,Media Advertising Printing & Publishing,,,,,,2021-12-22,,,,81,81,,
XanEdu Publishing Inc (49479 Class A units),Preferred Equity,Media Advertising Printing & Publishing,,8.00%,,n/a,2020-01-28,,,,49,49,,,
Vice Acquisition Holdco LLC (fka Vice Group Holding Inc) (1480000 Class A units),Common Equity,Media Broadcasting & Subscription,,,,,,2023-07-31,,,,1480,1480,,
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,9.00%,n/a,n/a,2023-08-29,2029-01-02,161,,,150,,,
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,9.00%,n/a,n/a,2023-07-14,2029-01-02,165,,,150,,,179
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,,n/a,n/a,2021-03-16,2027-03-16,370,,,363,,,
Whistler Parent Holdings III Inc,First Lien Senior Secured,Healthcare & Pharmaceuticals,5.44%,5.75%,SF,6.85,2024-10-25,2028-06-02,5651,,,5589,,,4880
Vice Acquisition Holdco LLC,Subordinated Debt,Media Broadcasting & Subscription,,,n/a,n/a,2019-05-02,,,637,,,637,,
Vice Acquisition Holdco LLC,Subordinated Debt,Media Broadcasting & Subscription,,,n/a,n/a,2019-11-04,,,122,,,122,,
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,528,,,528,,,
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,671,,,671,,,
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,203,,,203,,,
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-09-08,2028-01-31,353,,,353,,,
Forman Mills Inc,Senior Secured Loan,Retail,,5.00%,n/a,n/a,2023-04-27,2028-06-20,1308,,,1308,,,921
Education Corporation of America,Subordinated Debt,Services Consumer,14.00%,5.50%,P,11.00,2015-09-03,,,833,,,830,,
BTR Opco LLC,Common Equity,Automotive,,,,,,,2024-06-21,,,,,,
Lifted Trucks Holdings LLC,Common Equity,Automotive,,,,,,,2021-08-02,,,111,,,111
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-02-28,2027-02-26,1548,,,1537,,,
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-02-28,2027-02-26,1109,,,1109,,,
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-08-03,2027-02-26,2617,,,2617,,,
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2024-10-03,2027-02-28,3159,,,3103,,,
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2024-05-09,2027-02-26,2899,,,2899,,,
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.43%,,SF,6.26,2024-10-03,2027-02-28,2656,,,2656,,,
Kar Wash Holdings LLC,Revolver,Services Consumer,10.39%,,SF,6.11,2022-02-28,2027-02-26,952,,,952,,,
American Broadband and Telecommunications Company LLC,First Lien Senior Secured,Telecommunications,17.25%,2.00%,P,12.00,2022-06-10,,1344,,,1344,,,
American Broadband and Telecommunications Company LLC,Revolver,Telecommunications,17.25%,2.00%,P,12.00,2022-06-10,,500,,,128,,,
Calabrio Inc,First Lien Senior Secured,Telecommunications,9.70%,,SF,5.50,2021-04-16,2027-04-16,3358,,,3331,,,
Calabrio Inc,First Lien Senior Secured,Telecommunications,9.70%,,SF,5.50,2023-12-19,2027-04-16,492,,,492,,,
Calabrio Inc,Revolver,Telecommunications,9.70%,,SF,5.50,2021-04-16,2027-04-16,410,,,175,,,
ASG II LLC,First Lien Senior Secured,Services Business,10.71%,,SF,6.40,2022-05-25,2028-05-25,1900,,,1880,,,
ASG II LLC,First Lien Senior Secured,Services Business,10.71%,,SF,6.40,2022-05-25,2028-05-25,285,,,285,,,
BTR Opco LLC,Junior Secured Loan,Automotive,,7.50%,n/a,n/a,2024-09-30,2027-12-31,711,,,658,,,540
BTR Opco LLC,Junior Secured Loan,Automotive,,5.00%,n/a,n/a,2024-09-30,2027-12-31,3665,,,3390,,,
