company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
InMobi Pte Ltd (warrant to purchase up to 2.8% of the equity),Warrant,Media Advertising Printing & Publishing,,,,,,2015-09-18,2025-09-18,,,,,,,MRCC,2025-11-05.BEFORE
Relevate Health Group LLC (40 preferred units),Preferred Equity,Media Advertising Printing & Publishing,,12.00%,,n/a,2020-11-20,,,,40,40,,,,MRCC,2025-11-05.BEFORE
Relevate Health Group LLC (6 Class X preferred units),Preferred Equity,Media Advertising Printing & Publishing,,12.00%,,n/a,2024-11-14,,,,6,6,,,,MRCC,2025-11-05.BEFORE
Relevate Health Group LLC (40 Class B common units),Common Equity,Media Advertising Printing & Publishing,,,,,,2020-11-20,,,,,,,,MRCC,2025-11-05.BEFORE
Relevate Health Group LLC (6 Class X common units),Common Equity,Media Advertising Printing & Publishing,,,,,,2024-11-14,,,,,,,,MRCC,2025-11-05.BEFORE
Spherix Global Inc (13 Class A-2 units),Common Equity,Media Advertising Printing & Publishing,,,,,,2024-06-10,,,,13,13,,,MRCC,2025-11-05.BEFORE
Spherix Global Inc (81 Class A units),Common Equity,Media Advertising Printing & Publishing,,,,,,2021-12-22,,,,81,81,,,MRCC,2025-11-05.BEFORE
XanEdu Publishing Inc (49479 Class A units),Preferred Equity,Media Advertising Printing & Publishing,,8.00%,,n/a,2020-01-28,,,,49,49,,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC (fka Vice Group Holding Inc) (1480000 Class A units),Common Equity,Media Broadcasting & Subscription,,,,,,2023-07-31,,,,1480,1480,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,9.00%,n/a,n/a,2023-08-29,2029-01-02,161,,,150,,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,9.00%,n/a,n/a,2023-07-14,2029-01-02,165,,,150,,,179,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP,Senior Secured Loan,High Tech Industries,,,n/a,n/a,2021-03-16,2027-03-16,370,,,363,,,,MRCC,2025-11-05.BEFORE
Whistler Parent Holdings III Inc,First Lien Senior Secured,Healthcare & Pharmaceuticals,5.44%,5.75%,SF,6.85,2024-10-25,2028-06-02,5651,,,5589,,,4880,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,Subordinated Debt,Media Broadcasting & Subscription,,,n/a,n/a,2019-05-02,,,637,,,637,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,Subordinated Debt,Media Broadcasting & Subscription,,,n/a,n/a,2019-11-04,,,122,,,122,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,528,,,528,,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,671,,,671,,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-07-31,2028-01-31,203,,,203,,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media Broadcasting & Subscription,,12.85%,SF,8.26,2023-09-08,2028-01-31,353,,,353,,,,MRCC,2025-11-05.BEFORE
Forman Mills Inc,Senior Secured Loan,Retail,,5.00%,n/a,n/a,2023-04-27,2028-06-20,1308,,,1308,,,921,MRCC,2025-11-05.BEFORE
Education Corporation of America,Subordinated Debt,Services Consumer,14.00%,5.50%,P,11.00,2015-09-03,,,833,,,830,,,MRCC,2025-11-05.BEFORE
BTR Opco LLC,Common Equity,Automotive,,,,,,,2024-06-21,,,,,,,MRCC,2025-11-05.BEFORE
Lifted Trucks Holdings LLC,Common Equity,Automotive,,,,,,,2021-08-02,,,111,,,111,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-02-28,2027-02-26,1548,,,1537,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-02-28,2027-02-26,1109,,,1109,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2022-08-03,2027-02-26,2617,,,2617,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2024-10-03,2027-02-28,3159,,,3103,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.55%,,SF,6.26,2024-05-09,2027-02-26,2899,,,2899,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,First Lien Senior Secured,Services Consumer,10.43%,,SF,6.26,2024-10-03,2027-02-28,2656,,,2656,,,,MRCC,2025-11-05.BEFORE
Kar Wash Holdings LLC,Revolver,Services Consumer,10.39%,,SF,6.11,2022-02-28,2027-02-26,952,,,952,,,,MRCC,2025-11-05.BEFORE
American Broadband and Telecommunications Company LLC,First Lien Senior Secured,Telecommunications,17.25%,2.00%,P,12.00,2022-06-10,,1344,,,1344,,,,MRCC,2025-11-05.BEFORE
American Broadband and Telecommunications Company LLC,Revolver,Telecommunications,17.25%,2.00%,P,12.00,2022-06-10,,500,,,128,,,,MRCC,2025-11-05.BEFORE
Calabrio Inc,First Lien Senior Secured,Telecommunications,9.70%,,SF,5.50,2021-04-16,2027-04-16,3358,,,3331,,,,MRCC,2025-11-05.BEFORE
Calabrio Inc,First Lien Senior Secured,Telecommunications,9.70%,,SF,5.50,2023-12-19,2027-04-16,492,,,492,,,,MRCC,2025-11-05.BEFORE
Calabrio Inc,Revolver,Telecommunications,9.70%,,SF,5.50,2021-04-16,2027-04-16,410,,,175,,,,MRCC,2025-11-05.BEFORE
ASG II LLC,First Lien Senior Secured,Services Business,10.71%,,SF,6.40,2022-05-25,2028-05-25,1900,,,1880,,,,MRCC,2025-11-05.BEFORE
