company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
California Pizza Kitchen Inc,co_ca16bd5ac856,Common Equity,Food & Beverage,,,,,,,,,1845,,,1845,,CSWC,2021-11-02
CALIFORNIA PIZZA KITCHEN INC,co_ca16bd5ac856,Common Equity,Food & Beverage,,,,2020-11-23,,,1317,1317,,,,,,CSWC,2021-11-02
Corel,co_47fcb2f8f9d4,First Lien,Software,,,LIBOR,5.00%,,2026-07-02,7030,6834,7008,,6834,,,CSWC,2021-11-02
Geo Parent Corporation,co_e1cd357d76c4,First Lien,Construction & Engineering,,,LIBOR,5.25%,,2025-12-19,4900,4867,4888,,4867,,,CSWC,2021-11-02
Trafera LLC (FKA Trinity 3 LLC),co_4f9bb7e2c386,First Lien,Technology Hardware,7.50%,,LIBOR (Q),6.50%,2020-09-30,2025-09-30,9925,9801,9925,,9801,,,CSWC,2021-11-02
Trafera LLC (FKA Trinity 3 LLC),co_4f9bb7e2c386,Common Equity,Technology Hardware,,,,,,2019-11-15,,,1205,,,1205,,CSWC,2021-11-02
USA DeBusk LLC,co_eef8249783e9,First Lien,Industrial Services,6.75%,,LIBOR (M),5.75%,2020-02-25,2026-09-08,11673,11494,11673,,11494,,,CSWC,2021-11-02
Vistar Media Inc,co_7c2b87a868da,Preferred Equity,Media & Entertainment,,,,,,2019-04-03,,,1874,,,1874,,CSWC,2021-11-02
VTX Holdings Inc,co_79aafca591c9,First Lien,Software,10.90%,,LIBOR (Q),8.90%,2019-07-23,2024-07-23,21575,21233,20928,,21233,,,CSWC,2021-11-02
VTX Holdings Inc,co_79aafca591c9,Preferred Equity,Software,,,,,,2019-07-23,,,1398,,,1398,,CSWC,2021-11-02
Wall Street Prep Inc,co_001c2426f579,First Lien,Education,8.00%,,LIBOR (Q),7.00%,2021-07-19,2026-07-20,11000,10788,10788,,10788,,,CSWC,2021-11-02
Wall Street Prep Inc,co_001c2426f579,Preferred Equity,Education,,,,,,2021-07-19,,,1000,,,1000,,CSWC,2021-11-02
RTIC SUBSIDIARY HOLDINGS LLC,co_7851f4467604,Revolver,Consumer Products,9.00%,,LIBOR (Q),7.75%,2020-09-01,2025-09-01,274,263,274,,263,,,CSWC,2021-11-02
RTIC SUBSIDIARY HOLDINGS LLC,co_7851f4467604,First Lien,Consumer Products,9.00%,,LIBOR (Q),7.75%,2020-09-01,2025-09-01,7047,6975,7047,,6975,,,CSWC,2021-11-02
SCRIP INC,co_b1b3af1ef63d,First Lien,Medical Devices & Equipment,11.56%,,LIBOR (M),9.56%,2019-03-21,2024-03-21,16750,16470,16750,,16470,,,CSWC,2021-11-02
SCRIP INC,co_b1b3af1ef63d,Common Equity,Medical Devices & Equipment,,,N/A,,2019-03-21,,,1000,1264,,1000,,,CSWC,2021-11-02
SHEARWATER RESEARCH INC,co_2dadabc7de0a,First Lien,Consumer Products,7.25%,,LIBOR (Q),6.25%,2021-04-30,2026-04-30,13863,13606,13599,,13606,,,CSWC,2021-11-02
SHEARWATER RESEARCH INC,co_2dadabc7de0a,Preferred Equity,Consumer Products,,,N/A,,2021-04-30,,,978,978,,978,,,CSWC,2021-11-02
SHEARWATER RESEARCH INC,co_2dadabc7de0a,Common Equity,Consumer Products,,,N/A,,2021-04-30,,,33,33,,33,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,First Lien,Media & Entertainment,9.19%,,LIBOR (Q),8.19%,2020-12-01,2025-12-01,8750,8522,8750,,8522,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,First Lien,Media & Entertainment,9.21%,,LIBOR (Q),8.21%,2020-12-01,2025-12-01,8750,8500,8750,,8500,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,Delayed Draw,Media & Entertainment,9.19%,,LIBOR (Q),8.19%,2020-12-01,2025-12-01,3125,3050,3125,,3050,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,Delayed Draw,Media & Entertainment,9.21%,,LIBOR (Q),8.21%,2020-12-01,2025-12-01,2965,2889,2965,,2889,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,Preferred Equity,Media & Entertainment,,,N/A,,2020-12-01,,,1000,1000,,1000,,,CSWC,2021-11-02
ACCELERATION PARTNERS LLC,co_700d10019b1f,Preferred Equity,Media & Entertainment,,,,2020-12-01,,,1000,1000,,,,,,CSWC,2021-11-02
ACE GATHERING INC,co_bb9516227b53,Second Lien,Energy Services,10.50%,,LIBOR (Q),8.50%,2018-12-13,2023-12-13,8755,8663,8466,,8663,,,CSWC,2021-11-02
ACE GATHERING INC,co_bb9516227b53,Second Lien,Energy Services,12.50%,,LIBOR (Q),10.50%,2018-12-13,2023-12-13,9438,9319,8975,,9319,,,CSWC,2021-11-02
ADAMS PUBLISHING GROUP LLC,co_7a0242413d2d,First Lien,Media & Entertainment,8.75%,,LIBOR (Q),7.00%,2018-07-02,2023-07-02,8647,8552,8647,,8552,,,CSWC,2021-11-02
ADAMS PUBLISHING GROUP LLC,co_7a0242413d2d,First Lien,Media & Entertainment,8.75%,,LIBOR (Q),7.00%,2018-07-02,2023-07-02,9920,9795,9920,,9795,,,CSWC,2021-11-02
ALLIANCE SPORTS GROUP LP,co_a9d4555bc395,Subordinated Debt,Consumer Products,11.00%,,N/A,,2017-08-01,2023-02-01,11521,11451,11521,,11451,,,CSWC,2021-11-02
