company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Sweep Purchaser LLC,First Lien,,11.22%,,SOFR,5.75%,,,,8638,8537,-22,0.54%,8537,273,,,,,MSDL,2023-11-02
Sweep Purchaser LLC,First Lien,,11.22%,,SOFR,5.75%,,,,5889,5813,-2,0.36%,5813,28,,,,,MSDL,2023-11-02
Sweep Purchaser LLC,First Lien,,11.22%,,SOFR,5.75%,,,,1378,1363,1267,0.09%,1363,,,,,,MSDL,2023-11-02
Tamarack Intermediate LLC,First Lien,Media & Entertainment,11.17%,,SOFR,5.75%,,,,5431,5345,5189,0.35%,5345,,,,,,MSDL,2023-11-02
Tamarack Intermediate LLC,First Lien,Media & Entertainment,11.17%,,SOFR,5.75%,,,,149,135,108,0.01%,135,,,,,,MSDL,2023-11-02
United Flow Technologies Intermediate Holdco II LLC,First Lien,Media & Entertainment,11.17%,,SOFR,5.75%,,,,16844,16596,-1,1.12%,16596,32,,,,,MSDL,2023-11-02
United Flow Technologies Intermediate Holdco II LLC,First Lien,Media & Entertainment,11.17%,,SOFR,5.75%,,,,19701,19383,-31,1.31%,19383,1950,,,,,MSDL,2023-11-02
United Flow Technologies Intermediate Holdco II LLC,First Lien,Media & Entertainment,11.17%,,SOFR,5.75%,,,,1050,1013,1002,0.07%,1013,,,,,,MSDL,2023-11-02
US Infra Svcs Buyer LLC,First Lien,,12.34%,0.25%,SOFR,6.5%,,,,14958,14813,14311,0.97%,14813,,,,,,MSDL,2023-11-02
US Infra Svcs Buyer LLC,First Lien,,12.34%,0.25%,SOFR,6.5%,,,,2111,2091,2019,0.14%,2091,,,,,,MSDL,2023-11-02
US Infra Svcs Buyer LLC,First Lien,,12.34%,0.25%,SOFR,6.5%,,,,2250,2231,2153,0.15%,2231,,,,,,MSDL,2023-11-02
Valcourt Holdings II LLC,First Lien,,10.79%,,SOFR,5.25%,,,,34805,34383,34597,2.34%,34383,,,,,,MSDL,2023-11-02
Valcourt Holdings II LLC,First Lien,,10.79%,,SOFR,5.25%,,,,3067,3031,3048,0.21%,3031,,,,,,MSDL,2023-11-02
