company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"BrightInsight, Inc.",co_337f2c781b2f,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Elligo Health Research, Inc.",co_dce1dd7c76eb,Warrants,Software & Technology,,,,,,,,,,95,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Medsphere Systems Corp.,co_c4423429e5f5,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"SafelyYou, Inc.",co_862addd2badb,Warrants,Software & Technology,,,,,,,,,,51,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Lumithera, Inc.",co_02e7ce474a31,Warrants,Healthcare,,,,,,,,,,100,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Robin Healthcare, Inc.",co_31e293dd4f94,Warrants,Healthcare,,,,,,,,,,3247,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"ZetrOZ, Inc.",co_6edd24ed2ac6,Warrants,Healthcare,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Cadrenal Therapeutics, Inc.",co_7794e155124e,Other Equity,Healthcare,,,,,,,,,,283,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Castle Creek Biosciences, Inc.",co_15108292b83a,Other Equity,Healthcare,,,,,,,,,,250,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Emalex Biosciences, Inc.",co_240a27b57ebe,Other Equity,Healthcare,,,,,,,,,,355,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Axiom Space, Inc.",co_f120505262fd,Other Equity,Telecommunications,,,,,,,,,,306,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Caastle, Inc.",co_d4e23feadfc7,Other Equity,Consumer & Retail,,,,,,,,,,2681,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Getaround, Inc.",co_960a01715d2a,Other Equity,Consumer & Retail,12.0%,,,,,,,,,12,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"NextCar Holding Company, Inc.",co_ba06f9a7cffd,Other Equity,Consumer & Retail,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"SnagAJob.com, Inc.",co_44b0e00e6fd3,Other Equity,Consumer & Retail,10.0%,,,,,,,,,81,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Lumithera, Inc.",co_02e7ce474a31,Other Equity,Healthcare,,,,,,,,,,1700,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Tigo Energy, Inc.",co_881816645ca7,Other Equity,Environmental Services,10.0%,,,,,,,,,10,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
