company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Noodle Partners Inc,co_f3279c0f781c,Warrants,Software,,,N/A,,,84037,116,,,,,116,,HRZN,2025-10-28
OneNetworks Inc,co_0ba38baef933,Warrants,Software,,,N/A,,,184646,3,2,,,,,3,HRZN,2025-10-28
Revinate Holdings Inc,co_c8c2d75b0e7c,Warrants,Software,,,N/A,,,682034,44,86,,,,,44,HRZN,2025-10-28
SIGNiX Inc,co_3dd709ca9e7d,Warrants,Software,,,N/A,,,186235,177,,,,,177,,HRZN,2025-10-28
SIGNiX Inc,co_3dd709ca9e7d,Warrants,Software,,,N/A,,,186235,225,,,,,,,HRZN,2025-10-28
Slingshot Aerospace Inc,co_97031376b086,Warrants,Software,,,N/A,,,309208,123,21,,,,,123,HRZN,2025-10-28
Supply Network Visibility Holdings LLC,co_3a114282aae8,Warrants,Software,,,N/A,,,682,64,71,,,,,64,HRZN,2025-10-28
Supply Network Visibility Holdings LLC,co_3a114282aae8,Warrants,Software,,,N/A,,,682,65,75,,,,,,HRZN,2025-10-28
Topia Mobility Inc,co_a77957656cd4,Warrants,Software,,,N/A,,,30496,138,,,,,138,,HRZN,2025-10-28
Ursa Space Systems Inc,co_470449248ee1,Warrants,Software,,,N/A,,,1075072,151,140,,,,,151,HRZN,2025-10-28
Viken Detection Corporation,co_ba8aa4e3854b,Warrants,Software,,,N/A,,,345443,120,372,,,,,120,HRZN,2025-10-28
xAd Inc,co_15510fc0ff71,Warrants,Software,,,N/A,,,4343348,177,6,,,,,177,HRZN,2025-10-28
Hound Labs Inc,co_6427af119fff,Warrants,Healthcare Services,,,N/A,,,451796,46,,,,,46,,HRZN,2025-10-28
Hound Labs Inc,co_6427af119fff,Warrants,Healthcare Services,,,N/A,,,451796,45,,,0.45,,,,HRZN,2025-10-28
Parse Biosciences Inc,co_3c0226e9e491,Warrants,Healthcare Services,,,N/A,,,32244,71,22,,,,,71,HRZN,2025-10-28
Parse Biosciences Inc,co_3c0226e9e491,Warrants,Healthcare Services,,,N/A,,,184253,166,64,,,,,166,HRZN,2025-10-28
GT Medical Technologies Inc,co_19caf149ec1d,Warrants,Healthcare Services,,,N/A,,,326640,144,152,,,,,144,HRZN,2025-10-28
GT Medical Technologies Inc,co_19caf149ec1d,Warrants,Healthcare Services,,,N/A,,,195984,83,95,,,,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,Warrants,Software,,,N/A,,,123284,167,,,,,167,,HRZN,2025-10-28
Elligo Health Research Inc,co_764149d20772,Warrants,Software,,,N/A,,,652250,191,,,,,191,,HRZN,2025-10-28
SafelyYou Inc,co_1f0694e9725c,Warrants,Software,,,N/A,,,206983,163,142,,,,,163,HRZN,2025-10-28
BioVaxys Technology Corp,co_bee337ea586b,Other,Pharmaceuticals & Biotechnology,,,N/A,,,,5073,,,,,50,,HRZN,2025-10-28
Kate Farms Inc,co_15aec158247d,Warrants,Healthcare Services,,,N/A,,,82965,101,700,,,,,,HRZN,2025-10-28
Medsphere Systems Corporation,co_c4423429e5f5,Warrants,Software,,,N/A,,,7097792,60,,,,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.88%,5.50%,Prime,5.13%,,2026-05-01,3333,3326,3326,,3326,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.88%,5.50%,Prime,5.13%,,2026-05-01,2000,1996,1996,,1996,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,10000,9940,9940,0.04,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,5500,5467,5467,0.04,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,5000,4970,4970,0.04,,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,12.22%,5.00%,Prime,4.72%,,2025-11-01,4167,4144,4144,,4144,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,12.22%,5.00%,Prime,4.72%,,2026-05-01,5000,4982,4982,,4982,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,11.97%,,Prime,4.72%,,2025-11-01,417,414,414,0.05,,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,11.97%,,Prime,4.72%,,2026-05-01,2917,2911,2911,0.05,,,,HRZN,2025-10-28
Greenlight Biosciences Inc,co_6be33131a33e,First Lien,Pharmaceuticals & Biotechnology,13.25%,3.00%,Prime,5.75%,,2025-07-01,1000,971,971,,971,,,HRZN,2025-10-28
Evelo Biosciences Inc,co_9fa2b4ddf220,Other,Other,,,,,,,,,1350,,,,,HRZN,2025-10-28
Shengrow Inc,co_11a1a39323fa,Other,Other,,,,,,,,,43466,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Other,,10.00%,N/A,,,2027-07-01,812,790,811,,790,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Other,,10.00%,N/A,,,2027-07-01,304,304,173,,304,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Construction & Engineering,10.00%,,N/A,,,2027-07-01,638,790,790,,790,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,4910,1825,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,7634,2832,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,2946,1095,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,1964,730,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Pharmaceuticals & Biotechnology,,,N/A,,,,20342,1350,,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,Preferred Equity,Other,,,N/A,,,,,9751,,,9751,,,HRZN,2025-10-28
