company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Winter Services LLC,co_fe89c7b45929,First Lien,Business Services,,,SOFR,7%,,,,0,-16,-16,,-16,,,,,,MAIN,2023-05-05
Winter Services LLC,co_fe89c7b45929,First Lien,Business Services,11.75%,,SOFR,7%,,,,10000,9854,9999,,9854,,,,,,MAIN,2023-05-05
Xenon Arc Inc.,co_949e08e408c6,First Lien,Other,9.92%,,SOFR,5.25%,,,,1260,1056,1248,,1056,,,,,,MAIN,2023-05-05
Xenon Arc Inc.,co_949e08e408c6,First Lien,Other,10.34%,,SOFR,5.25%,,,,24239,23827,24019,,23827,,,,,,MAIN,2023-05-05
Xenon Arc Inc.,co_949e08e408c6,First Lien,Other,10.35%,,SOFR,5.25%,,,,38118,37532,37772,,37532,,,,,,MAIN,2023-05-05
YS Garments LLC,co_80c22042b9d6,First Lien,Other,14.5%,,SOFR,6%,,,,12471,12192,11226,,12192,,,,,,MAIN,2023-05-05
Zips Car Wash LLC,co_7d093c7eaca2,First Lien,Automotive,12.15%,,SOFR,7.25%,,,,17468,17287,17468,,17287,,,,,,MAIN,2023-05-05
Zips Car Wash LLC,co_7d093c7eaca2,First Lien,Automotive,12.12%,,SOFR,7.25%,,,,4378,4357,4372,,4357,,,,,,MAIN,2023-05-05
ASK,co_2f2fc7f2e9ce,First Lien,Financial Services,,,SOFR,10%,,,,,,-2,,,,,,,,MAIN,2023-05-05
ASK,co_2f2fc7f2e9ce,First Lien,Financial Services,14.75%,,SOFR,10%,,,,,,4495,,,,,,,,MAIN,2023-05-05
ASK,co_2f2fc7f2e9ce,Preferred Equity,Financial Services,14.13%,,,,,,,,,0,,,,,,,,MAIN,2023-05-05
CompareNetworks Topco LLC,co_e481a15786d3,First Lien,Financial Services,,,SOFR,9%,,,,,,0,,,,,,,,MAIN,2023-05-05
CompareNetworks Topco LLC,co_e481a15786d3,First Lien,Financial Services,13.75%,,SOFR,9%,,,,,,4869,,,,,,,,MAIN,2023-05-05
Principle Environmental LLC,co_68838d116ef1,First Lien,Financial Services,13%,,,,,,,,,5812,,,,,,,,MAIN,2023-05-05
Volusion LLC,co_9c3a0716a016,First Lien,Financial Services,10%,,,,,,,,,2100,,,,,,,,MAIN,2023-05-05
Batjer TopCo LLC,co_2eec49930f0e,First Lien,Financial Services,11%,,,,,,,,,10492,,,,,,,,MAIN,2023-05-05
Bolder Panther Group LLC,co_31b41d7bab29,First Lien,Financial Services,13.91%,,SOFR,9.22%,,,,,,98535,,,,,,,,MAIN,2023-05-05
Nebraska Vet AcquireCo LLC,co_a29fe27f2b4f,First Lien,Financial Services,,,SOFR,7%,,,,,,0,,,,,,,,MAIN,2023-05-05
Nebraska Vet AcquireCo LLC,co_a29fe27f2b4f,First Lien,Financial Services,12%,,,,,,,,,20094,,,,,,,,MAIN,2023-05-05
Nebraska Vet AcquireCo LLC,co_a29fe27f2b4f,First Lien,Financial Services,12%,,,,,,,,,10500,,,,,,,,MAIN,2023-05-05
ATX Networks Corp.,co_ec7da23d7126,First Lien,"AFG Capital Group, LLC",,,SOFR,7.5%,,,,,,0,,,,,,,,MAIN,2023-05-05
ATX Networks Corp.,co_ec7da23d7126,Unsecured Debt,"AFG Capital Group, LLC",,10%,,,,,,,,0,,,,,,,,MAIN,2023-05-05
SI East LLC,co_e9d3261e4660,First Lien,Financial Services,9.5%,,,,,,,,,84536,,,,,,,,MAIN,2023-05-05
Brightwood Capital Fund V LP,co_9d032eb75a6d,Other,,,,,,,,,,,,,,3000000,,,,,MAIN,2023-05-05
Brightwood Capital Fund III LP,co_9d032eb75a6d,Other,,,,,,,,,,,,,,300000,,,,,MAIN,2023-05-05
Freeport First Lien Loan Fund III LP,co_db6744b99a69,Other,,,,,,,,,,,,,,6733000,,,,,MAIN,2023-05-05
Freeport Financial SBIC Fund LP,co_a8dfa80312b1,Other,Financial Services,,,,,,,,,,,,,3841000,,,,,MAIN,2023-05-05
HPEP 4 LP.,co_4ecae7d5b587,Other,Financial Services,,,,,,,,,,,,,7668000,,,,,MAIN,2023-05-05
HPEP 3 LP.,co_4ecae7d5b587,Other,Financial Services,,,,,,,,,,,,,1555000,,,,,MAIN,2023-05-05
HPEP 423 COR LP,co_3f80dbae7ab0,Other,,,,,,,,,,,,,,600000,,,,,MAIN,2023-05-05
2717 MH LP.,co_f2cd2a2953f9,Other,Financial Services,,,,,,,,,,,,,52000,,,,,MAIN,2023-05-05
Classic H&G Holdco LLC,co_5d080d9f382b,Other,,,,,,,,,,,,,,3440000,,,,,MAIN,2023-05-05
VVS Holdco LLC,co_c81f439c14a5,Other,Financial Services,,,,,,,,,,,,,3200000,,,,,MAIN,2023-05-05
Evergreen North America Acquisitions LLC,co_0b4a2b5cce93,Other,,,,,,,,,,,,,,1313000,,,,,MAIN,2023-05-05
Project BarFly LLC,co_e1182916a348,Other,,,,,,,,,,,,,,760000,,,,,MAIN,2023-05-05
2717 MH LP.,co_f2cd2a2953f9,Partnership Interest,Financial Services,,,,,,,,,,7009,,,,,,,,MAIN,2023-05-05
2717 MH LP.,co_f2cd2a2953f9,Partnership Interest,Financial Services,,,,,,,,,,248,,,,,,,,MAIN,2023-05-05
Copper Trail Energy Fund I LP,co_fbb3a92231b0,Partnership Interest,Financial Services,,,,,,,,,,588,,,,,,,,MAIN,2023-05-05
MS Private Loan Fund,co_ffc4e4fd6369,First Lien,Financial Services,,,,,,,,,,0,,,,,,,,MAIN,2023-05-05
MS Private Loan Fund,co_ffc4e4fd6369,Partnership Interest,Financial Services,,,,,,,,,,14775,,,,,,,,MAIN,2023-05-05
Other Control Investments,co_e68b89eae83e,Other,Financial Services,,,,,,,,,,0,,,,,,,,MAIN,2023-05-05
Freeport Financial SBIC Fund LP,co_a8dfa80312b1,Partnership Interest,Financial Services,,,,,,,,,,3483,,,,,,,,MAIN,2023-05-05
Freeport Financial SBIC Fund LP,co_a8dfa80312b1,First Lien,Financial Services,,,,,,,,,,5312,,,,,,,,MAIN,2023-05-05
HPEP 3 LP.,co_4ecae7d5b587,Partnership Interest,Financial Services,,,,,,,,,,3936,,,,,,,,MAIN,2023-05-05
HPEP 3 LP.,co_4ecae7d5b587,Partnership Interest,Financial Services,,,,,,,,,,2332,,,,,,,,MAIN,2023-05-05
HPEP 3 LP.,co_4ecae7d5b587,Partnership Interest,Financial Services,,,,,,,,,,1400,,,,,,,,MAIN,2023-05-05
Other Affiliate Investments,co_5cc1bde8f79b,Other,Financial Services,,,,,,,,,,0,,,,,,,,MAIN,2023-05-05
