company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Demain ES,,Real Estate,,,,,,,2021-12-23,,327,,,327,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"HomeLight, Inc.",,Real Estate,,,,,,,2018-12-21,,44,443,,44,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Homeward, Inc.",,Other,,,,,,,2021-12-10,,211,33,,211,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
McN Investments Ltd.,,Financial Services,,,,,,,2022-05-27,,295,116,,295,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mynd Management, Inc.",,Business Services,,,,,,,2022-05-25,,19,18,,19,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Sonder Holdings Inc.,,Other,,,,,,,2018-12-28,,232,10,,232,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
True Footage Inc.,,Other,,,,,,,2021-11-24,,147,213,,147,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Moda Operandi, Inc.",,Other,,,,,,,2021-12-30,,169,80,,169,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
OfferUp Inc.,,Other,,,,,,,2019-12-23,,42,138,,42,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
ClassPass Inc.,,Software & Technology,,,,,,,2019-03-18,,281,151,,281,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Bird Global, Inc.",,Transportation & Logistics,,,,,,,2019-04-18,,193,,,193,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
GoEuro Corp.,,Healthcare,,,,,,,2019-09-18,,362,456,,362,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Arcadia Power, Inc.",Other Equity,Software & Technology,,,,,,,2021-09-21,,167,245,,167,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Convoy, Inc.",Other Equity,Software & Technology,,,,,,,2018-09-27,,250,356,,250,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
